election_year	check	lfd_nr	field	observed	expected	difference
1966	source_subtotal	101	fsu	3411	3411	0
1966	source_subtotal	101	dkp	0	0	0
1966	source_subtotal	101	npd	0	0	0
1966	source_subtotal	102	eligible_voters	11292041	11292041	0
1966	source_subtotal	102	number_voters	8641646	8641646	0
1966	source_subtotal	102	invalid_votes	99153	99153	0
1966	source_subtotal	102	valid_votes	8542493	8542493	0
1966	source_subtotal	102	cdu	3653184	3653184	0
1966	source_subtotal	102	spd	4226604	4226604	0
1966	source_subtotal	102	fdp	633765	633765	0
1966	source_subtotal	102	zentrum	16181	16181	0
1966	source_subtotal	102	uap	3175	3175	0
1966	source_subtotal	102	fsu	9584	9584	0
1966	source_subtotal	102	dkp	0	0	0
1966	source_subtotal	102	npd	0	0	0
1966	source_subtotal	103	eligible_voters	5602264	5602264	0
1966	source_subtotal	103	number_voters	4456820	4456820	0
1966	source_subtotal	103	invalid_votes	61398	61398	0
1966	source_subtotal	103	valid_votes	4395422	4395422	0
1966	source_subtotal	103	cdu	2101821	2101821	0
1966	source_subtotal	103	spd	1936271	1936271	0
1966	source_subtotal	103	fdp	340842	340842	0
1966	source_subtotal	103	zentrum	15069	15069	0
1966	source_subtotal	103	uap	545	545	0
1966	source_subtotal	103	fsu	874	874	0
1966	source_subtotal	103	dkp	0	0	0
1966	source_subtotal	103	npd	0	0	0
1966	statewide_control	102	eligible_voters	11292041	11292041	0
1966	statewide_control	102	number_voters	8641646	8641646	0
1966	statewide_control	102	invalid_votes	99153	99153	0
1966	statewide_control	102	valid_votes	8542493	8542493	0
1966	statewide_control	102	cdu	3653184	3653184	0
1966	statewide_control	102	spd	4226604	4226604	0
1966	statewide_control	102	fdp	633765	633765	0
1966	statewide_control	102	zentrum	16181	16181	0
1966	statewide_control	102	uap	3175	3175	0
1966	statewide_control	102	fsu	9584	9584	0
1966	statewide_control	102	dkp	0	0	0
1966	statewide_control	102	npd	0	0	0
1970	ballot_identity	1	number_voters	335687	335687	0
1970	party_identity	1	valid_votes	334112	334112	0
1970	ballot_identity	2	number_voters	227140	227140	0
1970	party_identity	2	valid_votes	226106	226106	0
1970	ballot_identity	3	number_voters	367779	367779	0
1970	party_identity	3	valid_votes	366239	366239	0
1970	ballot_identity	4	number_voters	113557	113557	0
1970	party_identity	4	valid_votes	113017	113017	0
1970	ballot_identity	5	number_voters	52991	52991	0
1970	party_identity	5	valid_votes	52712	52712	0
1970	ballot_identity	6	number_voters	69943	69943	0
1970	party_identity	6	valid_votes	69543	69543	0
