ags	source_page	source_row	field	printed_percentage	method
01051047	21	18	dkp	0.3	ocr
01051047	21	18	gruene	2.6	ocr
01051048	20	19	without_certificate	93.8	ocr
01051048	20	19	with_certificate	6.2	ocr
01051048	20	19	number_voters	80.6	visual
01051048	20	19	invalid_votes	0.5	ocr
01051048	21	19	cdu	47.6	ocr
01051048	21	19	fdp	2.2	ocr
01051048	21	19	gruene	2.6	ocr
01051049	20	20	without_certificate	92.5	ocr
01051049	20	20	with_certificate	7.5	ocr
01051049	20	20	number_voters	78.4	ocr
01051049	20	20	invalid_votes	0.3	ocr
01051049	21	20	spd	36.3	ocr
01051049	21	20	fdp	5.0	ocr
01051049	21	20	ssw	0.1	ocr
01051049	21	20	dkp	0.1	ocr
01051049	21	20	gruene	2.4	ocr
01051050	20	21	without_certificate	86.0	ocr
01051050	20	21	with_certificate	14.0	ocr
01051050	20	21	number_voters	69.8	ocr
01051050	21	21	spd	31.7	ocr
01051050	21	21	gruene	1.7	ocr
01051051	20	22	without_certificate	92.4	ocr
01051051	20	22	with_certificate	7.6	ocr
01051051	20	22	number_voters	74.5	ocr
01051051	20	22	invalid_votes	0.5	ocr
01051051	21	22	spd	44.3	ocr
01051051	21	22	fdp	0.8	ocr
01051051	21	22	gruene	3.3	ocr
01051052	20	23	without_certificate	96.0	ocr
01051052	20	23	with_certificate	4.0	ocr
01051052	20	23	number_voters	94.0	ocr
01051052	21	23	spd	8.5	ocr
01051052	21	23	gruene	2.1	ocr
01051053	20	24	without_certificate	94.7	ocr
01051053	20	24	with_certificate	5.3	ocr
01051053	20	24	number_voters	82.4	ocr
01051053	20	24	invalid_votes	0.5	ocr
01051053	21	24	spd	30.8	ocr
01051053	21	24	fdp	2.5	ocr
01051053	21	24	gruene	2.5	ocr
01051054	20	25	without_certificate	96.4	ocr
01051054	20	25	with_certificate	3.6	ocr
01051054	20	25	number_voters	85.7	ocr
01051054	21	25	spd	30.6	ocr
01051054	21	25	fdp	1.4	ocr
01051054	21	25	gruene	2.8	ocr
01051057	22	1	without_certificate	95.0	ocr
01051057	22	1	with_certificate	5.0	ocr
01051057	22	1	number_voters	79.8	ocr
01051057	22	1	invalid_votes	0.4	ocr
01051057	23	1	spd	46.8	ocr
01051057	23	1	fdp	0.8	ocr
01051057	23	1	gruene	1.2	ocr
01051058	22	2	without_certificate	93.3	ocr
01051058	22	2	with_certificate	6.7	ocr
01051058	22	2	number_voters	79.3	ocr
01051058	23	2	spd	45.8	ocr
01051058	23	2	fdp	0.9	ocr
01051058	23	2	gruene	0.9	ocr
01051060	22	3	without_certificate	94.8	ocr
01051060	22	3	with_certificate	5.2	ocr
01051060	22	3	number_voters	83.0	ocr
01051060	23	3	spd	37.0	ocr
01051060	23	3	fdp	0.3	ocr
01051060	23	3	gruene	3.8	ocr
01051061	22	4	without_certificate	89.8	ocr
01051061	22	4	with_certificate	10.2	ocr
