ags	source_page	source_row	field	value	ocr	pdf_text	method
01051020	18	21	eligible_voters	568	568	568	ocr_candidates_and_row_identities
01051020	18	21	without_certificate	540	540	540	ocr_candidates_and_row_identities
01051020	18	21	with_certificate	28	28	28	ocr_candidates_and_row_identities
01051020	18	21	number_voters	445	445	ltlt5	ocr_candidates_and_row_identities
01051020	18	21	invalid_votes	1	1	1	ocr_candidates_and_row_identities
01051020	19	21	valid_votes	444	444	444	ocr_candidates_and_row_identities
01051020	19	21	cdu	281	281	281	ocr_candidates_and_row_identities
01051020	19	21	spd	144	144	144	ocr_candidates_and_row_identities
01051020	19	21	fdp	10	10	10	ocr_candidates_and_row_identities
01051020	19	21	ssw	0			ocr_candidates_and_row_identities
01051020	19	21	dkp	1	1	1	ocr_candidates_and_row_identities
01051020	19	21	dgl	0	-		ocr_candidates_and_row_identities
01051020	19	21	gruene	8	8	8	ocr_candidates_and_row_identities
01051020	19	21	fp	0	-		ocr_candidates_and_row_identities
01051020	19	21	fsu	0	-		ocr_candidates_and_row_identities
01051020	19	21	einzelbewerber_llsh	0	-		ocr_candidates_and_row_identities
01051021	18	22	eligible_voters	476	476	476	ocr_candidates_and_row_identities
01051021	18	22	without_certificate	447	447	447	ocr_candidates_and_row_identities
01051021	18	22	with_certificate	29	29	29	ocr_candidates_and_row_identities
01051021	18	22	number_voters	382	382	382	ocr_candidates_and_row_identities
01051021	18	22	invalid_votes	1	1	1	ocr_candidates_and_row_identities
01051021	19	22	valid_votes	381	381	381	ocr_candidates_and_row_identities
01051021	19	22	cdu	183	183	183	ocr_candidates_and_row_identities
01051021	19	22	spd	183	183	183	ocr_candidates_and_row_identities
01051021	19	22	fdp	1	1	1	ocr_candidates_and_row_identities
01051021	19	22	ssw	0	-		ocr_candidates_and_row_identities
01051021	19	22	dkp	0			ocr_candidates_and_row_identities
01051021	19	22	dgl	0	-		ocr_candidates_and_row_identities
01051021	19	22	gruene	14	14	14	ocr_candidates_and_row_identities
01051021	19	22	fp	0	-		ocr_candidates_and_row_identities
01051021	19	22	fsu	0	-		ocr_candidates_and_row_identities
